Trial,Time(s),Steps,Success
1,18.904,200,False
2,18.661,200,False
3,18.816,200,False
4,18.967,200,False
5,18.464,200,False
6,20.051,200,False
7,18.355,200,False
8,18.500,200,False
9,18.880,200,False
10,18.987,200,False
11,18.884,200,False
12,18.112,200,False
13,17.893,200,False
14,18.196,200,False
15,17.898,200,False
16,18.147,200,False
17,18.110,200,False
18,19.223,200,False
19,18.000,200,False
20,18.176,200,False
21,17.936,200,False
22,18.190,200,False
23,17.815,200,False
24,18.235,200,False
25,17.043,200,False
26,16.932,200,False
27,17.004,200,False
28,16.918,200,False
29,16.957,200,False
30,16.938,200,False
31,17.653,200,False
32,16.952,200,False
33,18.837,200,False
34,17.881,200,False
35,18.739,200,False
36,18.142,200,False
37,18.308,200,False
38,17.499,200,False
39,18.227,200,False
40,17.234,200,False
41,17.217,200,False
42,17.207,200,False
43,17.726,200,False
44,17.725,200,False
45,17.786,200,False
46,18.311,200,False
47,18.692,200,False
48,18.129,200,False
49,20.609,200,False
50,19.008,200,False
51,18.961,200,False
52,17.973,200,False
53,18.006,200,False
54,17.778,200,False
55,17.863,200,False
56,18.087,200,False
57,17.211,200,False
58,18.008,200,False
59,18.128,200,False
60,18.417,200,False
61,18.204,200,False
62,18.090,200,False
63,18.787,200,False
64,18.834,200,False
65,21.278,200,False
66,19.606,200,False
67,18.983,200,False
68,17.022,200,False
69,17.045,200,False
70,17.036,200,False
71,18.290,200,False
72,19.610,200,False
73,19.592,200,False
74,18.488,200,False
75,17.972,200,False
76,18.005,200,False
77,18.512,200,False
78,18.271,200,False
79,19.044,200,False
80,17.479,200,False
81,17.006,200,False
82,17.009,200,False
83,17.025,200,False
84,17.599,200,False
85,18.642,200,False
86,17.888,200,False
87,18.310,200,False
88,18.484,200,False
89,18.416,200,False
90,18.589,200,False
91,17.639,200,False
92,19.134,200,False
93,19.074,200,False
94,22.149,200,False
95,22.946,200,False
96,17.316,200,False
97,17.177,200,False
98,17.220,200,False
99,17.241,200,False
100,17.220,200,False
101,17.800,200,False
102,17.839,200,False
103,17.164,200,False
104,17.854,200,False
105,17.000,200,False
106,17.054,200,False
107,17.683,200,False
108,16.950,200,False
109,16.930,200,False
110,16.913,200,False
111,16.911,200,False
112,16.962,200,False
113,16.934,200,False
114,17.018,200,False
115,16.892,200,False
116,16.897,200,False
117,16.908,200,False
118,16.896,200,False
119,16.982,200,False
120,16.890,200,False
121,17.048,200,False
122,16.895,200,False
123,16.910,200,False
124,16.913,200,False
125,16.913,200,False
126,16.924,200,False
127,16.884,200,False
128,16.879,200,False
129,16.921,200,False
130,16.914,200,False
131,16.927,200,False
132,16.888,200,False
133,16.903,200,False
134,16.904,200,False
135,16.935,200,False
136,16.941,200,False
137,16.947,200,False
138,18.121,200,False
139,17.032,200,False
140,17.013,200,False
141,17.045,200,False
142,17.016,200,False
143,17.020,200,False
144,17.057,200,False
145,17.029,200,False
146,17.050,200,False
147,17.007,200,False
148,17.061,200,False
149,17.033,200,False
150,17.027,200,False
151,17.028,200,False
152,17.068,200,False
153,17.042,200,False
154,17.053,200,False
155,17.039,200,False
156,17.024,200,False
157,17.100,200,False
158,17.208,200,False
159,17.214,200,False
160,17.499,200,False
161,17.421,200,False
162,17.473,200,False
163,17.322,200,False
164,17.586,200,False
165,17.274,200,False
166,17.177,200,False
167,17.321,200,False
168,17.162,200,False
169,17.091,200,False
170,17.261,200,False
171,17.186,200,False
172,17.446,200,False
173,17.392,200,False
174,17.137,200,False
175,17.396,200,False
176,17.266,200,False
177,17.012,200,False
178,17.089,200,False
179,17.151,200,False
180,17.033,200,False
181,16.991,200,False
182,17.009,200,False
183,16.983,200,False
184,17.017,200,False
185,16.994,200,False
186,16.984,200,False
187,16.993,200,False
188,17.038,200,False
189,18.045,200,False
190,18.055,200,False
191,18.170,200,False
192,17.863,200,False
193,17.572,200,False
194,18.961,200,False
195,17.791,200,False
196,17.204,200,False
197,17.057,200,False
198,17.000,200,False
199,17.029,200,False
200,18.331,200,False

Average Time: 17.710s
Fastest Time: 16.879s
Slowest Time: 22.946s
